year,month,rate_percent,revenue_ruling,irb_cite,table,authority_url,note
2025,12,4.6,Rev. Rul. 2025-24,2025-50 I.R.B. 764,"Table 5, Rate Under Section 7520 for December 2025",https://www.irs.gov/pub/irs-irbs/irb25-50.pdf,
2026,1,4.6,Rev. Rul. 2026-2,2026-03 I.R.B. 342,"Table 5, Rate Under Section 7520 for January 2026",https://www.irs.gov/pub/irs-irbs/irb26-03.pdf,
2026,2,4.6,Rev. Rul. 2026-3,2026-06 I.R.B. 485,"Table 5, Rate Under Section 7520 for February 2026",https://www.irs.gov/pub/irs-irbs/irb26-06.pdf,
2026,3,4.8,Rev. Rul. 2026-6,2026-11 I.R.B. 635,"Table 5, Rate Under Section 7520 for March 2026",https://www.irs.gov/pub/irs-irbs/irb26-11.pdf,
2026,4,4.6,Rev. Rul. 2026-7,2026-15 I.R.B. 791,"Table 5, Rate Under Section 7520 for April 2026",https://www.irs.gov/pub/irs-irbs/irb26-15.pdf,
2026,5,5.0,Rev. Rul. 2026-9,2026-19 I.R.B. 897,"Table 5, Rate Under Section 7520 for May 2026",https://www.irs.gov/pub/irs-irbs/irb26-19.pdf,
2026,6,5.0,Rev. Rul. 2026-11,2026-24 I.R.B. 1570,"Table 5, Rate Under Section 7520 for June 2026",https://www.irs.gov/pub/irs-irbs/irb26-24.pdf,
2026,7,5.2,Rev. Rul. 2026-12,2026-28 I.R.B. 27,"Table 5, Rate Under Section 7520 for July 2026",https://www.irs.gov/pub/irs-irbs/irb26-28.pdf,
2026,8,5.2,Rev. Rul. 2026-13,2026-32 I.R.B. 132,"Table 5, Rate Under Section 7520 for August 2026",https://www.irs.gov/pub/irs-irbs/irb26-32.pdf,
2026,9,5.4,Rev. Rul. 2026-17,2026-37 I.R.B. 247,"Table 5, Rate Under Section 7520 for September 2026",https://www.irs.gov/pub/irs-irbs/irb26-37.pdf,
2026,10,5.6,Rev. Rul. 2026-19,not yet in an I.R.B. issue (irs-drop release),"Table 5, Rate Under Section 7520 for October 2026",https://www.irs.gov/pub/irs-drop/rr-26-19.pdf,
